activation,optimizer,dropout,weight_init,train_time_s,test_acc,test_f1
gelu,adam,0.0,kaiming,38.11,0.952,0.6106
gelu,adam,0.0,orthogonal,25.21,0.957,0.6145
gelu,adam,0.1,default,36.18,0.956,0.6734
gelu,adam,0.1,xavier,32.37,0.943,0.5917
gelu,adam,0.1,kaiming,32.9,0.95,0.6253
gelu,adam,0.1,orthogonal,33.39,0.948,0.6034
gelu,adam,0.2,default,32.67,0.956,0.6177
gelu,adam,0.2,xavier,35.76,0.954,0.6043
gelu,adam,0.2,kaiming,34.28,0.946,0.5953
gelu,adam,0.2,orthogonal,29.5,0.944,0.5926
gelu,adam,0.3,default,30.7,0.956,0.68
gelu,adam,0.3,xavier,32.18,0.953,0.6044
gelu,adam,0.3,kaiming,36.75,0.955,0.6253
gelu,adam,0.3,orthogonal,22.88,0.946,0.656
gelu,rmsprop,0.0,default,19.43,0.96,0.6259
gelu,rmsprop,0.0,xavier,33.32,0.955,0.6024
gelu,rmsprop,0.0,kaiming,36.34,0.952,0.6148
gelu,rmsprop,0.0,orthogonal,37.87,0.956,0.6077
gelu,rmsprop,0.1,default,37.08,0.956,0.6112
gelu,rmsprop,0.1,xavier,46.25,0.953,0.5977
gelu,rmsprop,0.1,kaiming,37.53,0.952,0.6075
gelu,rmsprop,0.1,orthogonal,36.66,0.955,0.6102
gelu,rmsprop,0.2,default,37.35,0.956,0.6095
gelu,rmsprop,0.2,xavier,37.27,0.952,0.5897
gelu,rmsprop,0.2,kaiming,36.68,0.958,0.6426
gelu,rmsprop,0.2,orthogonal,28.11,0.952,0.6063
gelu,rmsprop,0.3,default,25.3,0.959,0.6351
gelu,rmsprop,0.3,xavier,44.71,0.956,0.615
gelu,rmsprop,0.3,kaiming,39.13,0.956,0.6323
gelu,rmsprop,0.3,orthogonal,37.38,0.954,0.6082
leakyrelu,adagrad,0.0,default,42.31,0.951,0.5756
leakyrelu,adagrad,0.0,xavier,28.67,0.951,0.5781
leakyrelu,adagrad,0.0,kaiming,20.97,0.954,0.5966
leakyrelu,adagrad,0.0,orthogonal,18.01,0.951,0.5763
leakyrelu,adagrad,0.1,default,17.83,0.949,0.5635
leakyrelu,adagrad,0.1,xavier,24.41,0.947,0.5526
leakyrelu,adagrad,0.1,kaiming,18.99,0.955,0.5983
leakyrelu,adagrad,0.1,orthogonal,19.99,0.949,0.5676
leakyrelu,adagrad,0.2,default,23.61,0.949,0.5635
leakyrelu,adagrad,0.2,xavier,34.19,0.948,0.5543
leakyrelu,adagrad,0.2,kaiming,20.2,0.955,0.5983
leakyrelu,adagrad,0.2,orthogonal,21.3,0.949,0.562
leakyrelu,adagrad,0.3,default,27.98,0.948,0.5629
leakyrelu,adagrad,0.3,xavier,21.11,0.946,0.5409
leakyrelu,adagrad,0.3,kaiming,19.91,0.954,0.5917
leakyrelu,adagrad,0.3,orthogonal,19.56,0.948,0.557
leakyrelu,adamw,0.0,default,21.71,0.956,0.6801
leakyrelu,adamw,0.0,xavier,21.12,0.957,0.6109
leakyrelu,adamw,0.0,kaiming,21.5,0.956,0.6259
leakyrelu,adamw,0.0,orthogonal,21.25,0.955,0.594
leakyrelu,adamw,0.1,default,22.71,0.958,0.6826
leakyrelu,adamw,0.1,xavier,22.8,0.941,0.5818
leakyrelu,adamw,0.1,kaiming,22.14,0.945,0.6013
leakyrelu,adamw,0.1,orthogonal,24.26,0.943,0.5943
leakyrelu,adamw,0.2,default,23.06,0.956,0.6147
leakyrelu,adamw,0.2,xavier,22.0,0.958,0.6295
leakyrelu,adamw,0.2,kaiming,21.81,0.948,0.5994
leakyrelu,adamw,0.2,orthogonal,23.32,0.945,0.5987
